,Total Enrollment,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
0,Air Force Institute of Technology-Graduate School of Engineering & Management,1129.0,995.0,881.0,898.0,966.0,910.0,860.0,853.0,801.0,728.0,812.0,719.0,773.0,834.0,838.0,,
1,Arizona State University Campus Immersion,74795.0,53286.0,51585.0,51164.0,51869.0,51984.0,50320.0,48702.0,73378.0,72254.0,70440.0,68064.0,67082.0,51481.0,51234.0,51612.0,49171.0
2,Arizona State University Digital Immersion,53993.0,45073.0,38540.0,31702.0,26200.0,20273.0,13938.0,10268.0,,,,,,,,,
3,Arizona State University-Downtown Phoenix,,11420.0,11584.0,11465.0,11737.0,10952.0,11216.0,10400.0,,,,,,6595.0,6229.0,,
4,Arkansas State University,13106.0,13356.0,13709.0,13930.0,14085.0,13410.0,13144.0,13552.0,13877.0,13900.0,13415.0,12156.0,11490.0,11130.0,10949.0,10414.0,10508.0
5,Auburn University,30737.0,30460.0,30440.0,29776.0,28290.0,27287.0,25912.0,24864.0,25134.0,25469.0,25078.0,24602.0,24530.0,24137.0,23547.0,23333.0,22928.0
6,Ball State University,21597.0,22443.0,21795.0,22513.0,21998.0,21196.0,20655.0,20503.0,21053.0,22147.0,22083.0,21401.0,20243.0,19849.0,20030.0,20351.0,20507.0
7,Binghamton University,18148.0,18124.0,17768.0,17351.0,17292.0,16913.0,16695.0,16077.0,15308.0,14746.0,14895.0,14709.0,14882.0,14435.0,14373.0,14018.0,13860.0
8,Boise State University,24069.0,26217.0,25504.0,24121.0,23854.0,22086.0,22227.0,21981.0,22344.0,19664.0,19992.0,18933.0,19667.0,19540.0,18829.0,18385.0,18332.0
9,Bowling Green State University-Main Campus,18142.0,17733.0,17540.0,17357.0,17644.0,16908.0,16554.0,16958.0,17286.0,17577.0,17706.0,17309.0,17874.0,18619.0,19108.0,19016.0,18989.0
10,Central Michigan University,17311.0,19362.0,21622.0,23257.0,25986.0,26825.0,26879.0,26841.0,27626.0,28194.0,28292.0,27247.0,27225.0,26611.0,26710.0,27221.0,27683.0
11,Clemson University,26406.0,25822.0,24951.0,24387.0,23406.0,22698.0,21857.0,21303.0,20768.0,19914.0,19453.0,19111.0,18317.0,17585.0,17309.0,17165.0,17110.0
12,Cleveland State University,15247.0,15433.0,16069.0,16371.0,16864.0,16915.0,16936.0,17497.0,17278.0,17229.0,17386.0,16216.0,15139.0,15038.0,14807.0,15482.0,15664.0
13,Colorado School of Mines,6744.0,6628.0,6325.0,6209.0,6069.0,6054.0,5962.0,5790.0,5721.0,5524.0,5287.0,5124.0,4704.0,4560.0,4357.0,4318.0,4101.0
14,Colorado State University-Fort Collins,32428.0,33426.0,33478.0,33083.0,31856.0,30614.0,31354.0,31186.0,30659.0,30467.0,30155.0,28902.0,28882.0,27569.0,27636.0,27780.0,27973.0
15,CUNY City College,15227.0,15816.0,16043.0,16001.0,16048.0,15778.0,15579.0,15331.0,16023.0,16005.0,15416.0,16212.0,15306.0,14392.0,13155.0,12360.0,12099.0
16,CUNY Graduate School and University Center,9300.0,8503.0,8041.0,7674.0,7378.0,6954.0,7013.0,6736.0,6812.0,6782.0,6590.0,6316.0,5944.0,5468.0,4869.0,4554.0,4234.0
17,Delaware State University,4739.0,4768.0,4586.0,4352.0,4328.0,4288.0,4397.0,4336.0,4324.0,4154.0,3757.0,3609.0,3534.0,3756.0,3690.0,3722.0,3270.0
18,East Carolina University,28798.0,28651.0,28718.0,29131.0,28962.0,28289.0,27511.0,26887.0,26947.0,27386.0,27783.0,27654.0,27677.0,25990.0,24351.0,23164.0,22767.0
19,East Tennessee State University,13713.0,14191.0,14317.0,14353.0,14022.0,14334.0,14434.0,14691.0,15133.0,15250.0,14952.0,14421.0,13646.0,13119.0,12390.0,11894.0,11869.0
20,Eastern Michigan University,16294.0,17784.0,18808.0,20525.0,21246.0,21824.0,22401.0,23447.0,23518.0,23419.0,23565.0,22893.0,22032.0,22837.0,22950.0,23486.0,23862.0
21,Florida Agricultural and Mechanical University,9184.0,9626.0,10021.0,9913.0,9619.0,9928.0,10241.0,10743.0,12057.0,13204.0,13284.0,12274.0,11857.0,11562.0,11907.0,12154.0,13067.0
22,Florida Atlantic University,30805.0,30061.0,29772.0,30208.0,30541.0,30380.0,30297.0,30759.0,29994.0,29246.0,28270.0,27637.0,26839.0,26193.0,25325.0,25645.0,25319.0
23,Florida International University,58836.0,58711.0,57942.0,56718.0,55003.0,49782.0,49610.0,47663.0,46171.0,44616.0,42197.0,39610.0,38759.0,38182.0,37997.0,36904.0,34865.0
24,Florida State University,43569.0,42450.0,41269.0,41362.0,41173.0,40830.0,41226.0,40909.0,40695.0,41087.0,40416.0,39785.0,38682.0,40555.0,39973.0,39146.0,38431.0
25,George Mason University,38541.0,37863.0,37316.0,35984.0,34909.0,33929.0,33729.0,33917.0,32961.0,33320.0,32562.0,32067.0,30613.0,30276.0,29889.0,29728.0,28874.0
26,Georgia Institute of Technology-Main Campus,39771.0,36302.0,32723.0,29376.0,26839.0,25034.0,23109.0,21471.0,21557.0,20941.0,20720.0,20291.0,19413.0,18742.0,17936.0,17135.0,16841.0
27,Georgia Southern University,26949.0,26054.0,26408.0,20418.0,20673.0,20459.0,20517.0,20517.0,20574.0,20212.0,19691.0,19086.0,17764.0,16841.0,16425.0,16646.0,16100.0
28,Georgia State University,36360.0,35041.0,34316.0,32816.0,32237.0,32058.0,32556.0,32165.0,32087.0,32022.0,31533.0,30427.0,28229.0,27134.0,26135.0,25967.0,27261.0
29,Idaho State University,11766.0,12402.0,12363.0,12493.0,12916.0,13078.0,13429.0,13326.0,13852.0,12418.0,12543.0,13493.0,12653.0,13208.0,12679.0,13977.0,13802.0
30,Illinois State University,20720.0,20878.0,20635.0,20784.0,21039.0,20760.0,20615.0,20272.0,20706.0,21310.0,21134.0,21184.0,20799.0,20274.0,20521.0,20653.0,20757.0
31,Indiana University-Bloomington,43064.0,43260.0,43503.0,43710.0,49695.0,48514.0,46416.0,46817.0,42133.0,42731.0,42464.0,42347.0,40354.0,38990.0,38247.0,37958.0,37821.0
32,Indiana University-Purdue University-Indianapolis,29390.0,29537.0,29579.0,29791.0,29804.0,30105.0,30690.0,30488.0,30451.0,30530.0,30566.0,30383.0,30300.0,29854.0,29764.0,29933.0,29953.0
33,Iowa State University,31822.0,33372.0,34992.0,35993.0,36350.0,35714.0,34435.0,32955.0,30748.0,29611.0,28682.0,27945.0,26856.0,26160.0,25462.0,25741.0,26380.0
34,Jackson State University,6921.0,7020.0,7250.0,8558.0,9811.0,9802.0,9508.0,9134.0,8819.0,8903.0,8687.0,8783.0,8377.0,8698.0,8256.0,8416.0,8351.0
35,Kansas State University,20854.0,21719.0,22221.0,22795.0,23779.0,24146.0,24766.0,24581.0,24378.0,23863.0,23588.0,23581.0,23520.0,23332.0,23141.0,23182.0,23151.0
36,Kennesaw State University,41181.0,37807.0,35420.0,35846.0,35018.0,33252.0,,,,,,,,,,,
37,Kent State University at Kent,26822.0,27716.0,28122.0,28972.0,30167.0,30067.0,29477.0,28998.0,28602.0,27855.0,26589.0,25127.0,22944.0,22819.0,22697.0,23622.0,24347.0
38,Louisiana State University and Agricultural & Mechanical College,34285.0,31756.0,30983.0,30861.0,31409.0,31524.0,31044.0,30478.0,30225.0,29718.0,29451.0,28643.0,28810.0,28628.0,29925.0,34128.0,32241.0
39,Louisiana Tech University,11126.0,11510.0,11909.0,12314.0,12672.0,12371.0,11225.0,11015.0,11304.0,11518.0,11743.0,11264.0,10917.0,10564.0,11203.0,11593.0,11691.0
40,Marshall University,11958.0,12852.0,13204.0,13246.0,13647.0,13621.0,13381.0,13407.0,13708.0,13966.0,14192.0,13776.0,13573.0,13808.0,13936.0,13988.0,13920.0
41,Miami University-Oxford,18880.0,19716.0,19934.0,19700.0,19697.0,19076.0,18620.0,17901.0,17683.0,17395.0,17472.0,16884.0,17191.0,15968.0,16329.0,16722.0,17161.0
42,Michigan State University,49695.0,49809.0,50351.0,50019.0,50340.0,50538.0,50081.0,49317.0,48783.0,47825.0,46985.0,47071.0,46510.0,46045.0,45520.0,45166.0,44836.0
43,Michigan Technological University,6873.0,7027.0,7172.0,7292.0,7252.0,7218.0,7099.0,6975.0,6933.0,7022.0,6971.0,7136.0,7009.0,6744.0,6546.0,6506.0,6527.0
44,Mississippi State University,22986.0,22226.0,21974.0,21883.0,21622.0,20873.0,20138.0,20161.0,20365.0,20424.0,19644.0,18601.0,17824.0,17039.0,16206.0,16101.0,15934.0
45,Missouri University of Science and Technology,7642.0,8088.0,8601.0,8883.0,8835.0,8886.0,8640.0,8129.0,7645.0,7521.0,7205.0,6814.0,6367.0,6166.0,5858.0,5600.0,5404.0
46,Montana State University,16218.0,16692.0,16814.0,16613.0,16359.0,15236.0,14982.0,14852.0,14269.0,13671.0,13081.0,12348.0,11976.0,11932.0,12052.0,12143.0,11913.0
47,Montclair State University,21005.0,21007.0,21115.0,21013.0,20987.0,20465.0,20022.0,19464.0,18382.0,18498.0,18402.0,18171.0,17475.0,16736.0,16076.0,16063.0,15637.0
48,Morgan State University,7634.0,7763.0,7712.0,7747.0,7689.0,7725.0,7698.0,7546.0,7952.0,8018.0,7805.0,7226.0,7005.0,6847.0,6705.0,6438.0,6891.0
49,New Jersey Institute of Technology,11652.0,11518.0,11423.0,11446.0,11317.0,11325.0,10646.0,10130.0,9944.0,9558.0,8934.0,8840.0,8398.0,8288.0,8209.0,8058.0,8249.0
50,New Mexico State University-Main Campus,14227.0,14296.0,14289.0,14432.0,14852.0,15490.0,15829.0,16765.0,17651.0,18024.0,18600.0,18526.0,17239.0,16722.0,16415.0,16072.0,16428.0
51,North Carolina A & T State University,12753.0,12556.0,12142.0,11877.0,11177.0,10852.0,10725.0,10561.0,10636.0,10881.0,10795.0,10614.0,10388.0,10498.0,11098.0,11103.0,10383.0
52,North Carolina State University at Raleigh,36042.0,36304.0,35479.0,34432.0,33755.0,34015.0,33989.0,34009.0,34340.0,34767.0,34376.0,33819.0,32872.0,31802.0,31130.0,30148.0,29957.0
53,North Dakota State University-Main Campus,12846.0,13173.0,13796.0,14358.0,14432.0,14516.0,14747.0,14629.0,14443.0,14399.0,14407.0,14189.0,13230.0,12527.0,12258.0,12099.0,12026.0
54,Northern Arizona University,29566.0,30733.0,31066.0,31051.0,30361.0,29021.0,27705.0,26594.0,25991.0,25359.0,25197.0,23597.0,22502.0,21347.0,20555.0,18773.0,19137.0
55,Northern Illinois University,16769.0,16609.0,17169.0,18045.0,19015.0,20130.0,20611.0,21138.0,21869.0,22990.0,23850.0,24424.0,24397.0,25254.0,25313.0,25208.0,24820.0
56,Oakland University,18552.0,19013.0,19309.0,19333.0,20012.0,20261.0,20519.0,20169.0,19740.0,19379.0,19053.0,18918.0,18175.0,18081.0,17737.0,17339.0,16902.0
57,Ohio State University-Main Campus,61369.0,61391.0,61170.0,59837.0,59482.0,58663.0,58322.0,57466.0,56387.0,56867.0,56064.0,55014.0,53715.0,52568.0,51818.0,50504.0,50995.0
58,Ohio University-Main Campus,25714.0,27367.0,28480.0,29369.0,29509.0,29012.0,29217.0,28786.0,27402.0,26201.0,25108.0,22647.0,21369.0,21089.0,20610.0,20461.0,20143.0
59,Oklahoma State University-Main Campus,24535.0,24079.0,24690.0,25295.0,25622.0,25930.0,25962.0,26073.0,25708.0,24390.0,23667.0,23033.0,22995.0,23213.0,23499.0,23692.0,23819.0
60,Old Dominion University,24286.0,23675.0,24176.0,24375.0,24322.0,24672.0,24932.0,24828.0,24670.0,24753.0,24466.0,24013.0,23086.0,22287.0,21625.0,21274.0,20595.0
61,Oregon State University,32312.0,31719.0,30986.0,30896.0,30354.0,29576.0,28886.0,27902.0,26363.0,24962.0,23753.0,21950.0,20305.0,19738.0,19352.0,19224.0,19153.0
62,Pennsylvania State University-Main Campus,,91427.0,46810.0,47119.0,47789.0,47307.0,47040.0,46615.0,45783.0,45628.0,45233.0,45185.0,44406.0,43252.0,42914.0,40709.0,41289.0
63,Portland State University,23640.0,25321.0,25711.0,26693.0,26627.0,27488.0,27696.0,28260.0,28287.0,28584.0,28035.0,27901.0,26382.0,24963.0,24254.0,23929.0,23444.0
64,Purdue University-Main Campus,46655.0,45500.0,44474.0,42699.0,41513.0,40472.0,39752.0,39794.0,40393.0,40849.0,41063.0,41052.0,41433.0,40534.0,40609.0,40151.0,40108.0
65,Rowan University,19678.0,19618.0,19465.0,18484.0,17372.0,16155.0,14778.0,13349.0,12183.0,11786.0,11300.0,11006.0,10270.0,10091.0,9578.0,9762.0,9688.0
66,Rutgers University-Camden,7076.0,7233.0,7171.0,6853.0,6475.0,6408.0,6321.0,6264.0,6343.0,6428.0,6158.0,5781.0,5398.0,5159.0,5165.0,5321.0,5563.0
67,Rutgers University-New Brunswick,50411.0,50173.0,50254.0,49577.0,50146.0,49428.0,48378.0,48036.0,40434.0,39950.0,38912.0,37366.0,36041.0,34804.0,34392.0,34449.0,34696.0
68,Rutgers University-Newark,13231.0,13605.0,13451.0,12768.0,12321.0,11720.0,11314.0,11212.0,12011.0,11804.0,11798.0,11501.0,11032.0,10553.0,10203.0,10246.0,10293.0
69,San Diego State University,36334.0,35544.0,35303.0,35135.0,34688.0,34254.0,33483.0,31899.0,30843.0,30541.0,29187.0,32817.0,34889.0,35695.0,33441.0,31802.0,32043.0
70,South Dakota State University,11405.0,11512.0,12104.0,12516.0,12600.0,12576.0,12543.0,12525.0,12583.0,12725.0,12816.0,12376.0,11995.0,11645.0,11303.0,10938.0,10884.0
71,Southern Illinois University-Carbondale,11366.0,11695.0,12817.0,14554.0,15987.0,17292.0,17989.0,17964.0,18847.0,19817.0,20037.0,20350.0,20673.0,20983.0,21003.0,21441.0,21589.0
72,Stony Brook University,26782.0,26814.0,26256.0,25989.0,25734.0,25272.0,24607.0,24143.0,23946.0,23920.0,24363.0,24681.0,23991.0,23347.0,22522.0,22011.0,21685.0
73,SUNY at Albany,17688.0,17544.0,17944.0,17743.0,17373.0,17178.0,17273.0,17338.0,17312.0,17114.0,17615.0,18020.0,18204.0,17684.0,17434.0,17040.0,16293.0
74,SUNY College of Environmental Science and Forestry,2127.0,2209.0,2220.0,2213.0,2186.0,2222.0,2200.0,2229.0,2255.0,2680.0,2682.0,2642.0,2523.0,2299.0,2069.0,2140.0,2046.0
75,Temple University,37236.0,38794.0,39740.0,39937.0,39296.0,38007.0,37485.0,37270.0,36744.0,36855.0,37367.0,36507.0,35490.0,34696.0,33865.0,33695.0,33551.0
76,Tennessee State University,7615.0,8081.0,7774.0,8177.0,8760.0,9167.0,9027.0,8883.0,8740.0,9165.0,8930.0,8824.0,8254.0,9065.0,9038.0,8880.0,9100.0
77,Tennessee Technological University,10177.0,10140.0,10186.0,10504.0,10493.0,10900.0,11339.0,11118.0,11469.0,11768.0,11538.0,10847.0,10793.0,10321.0,9733.0,9313.0,9217.0
78,Texas A & M University-College Station,70418.0,68726.0,68679.0,67929.0,65632.0,63813.0,61642.0,55697.0,50627.0,50230.0,49129.0,48702.0,48039.0,46542.0,45380.0,44910.0,44435.0
79,Texas A & M University-Corpus Christi,10820.0,11452.0,11929.0,12236.0,12202.0,11661.0,11256.0,10913.0,10508.0,10162.0,10033.0,9468.0,9007.0,8563.0,8585.0,8365.0,8227.0
80,Texas A & M University-Kingsville,6932.0,7479.0,8541.0,8674.0,9278.0,9207.0,13246.0,12229.0,11350.0,10290.0,9704.0,8194.0,7133.0,6567.0,6728.0,6662.0,7126.0
81,Texas Southern University,7015.0,9034.0,9732.0,10237.0,8862.0,8965.0,9233.0,8703.0,9646.0,9730.0,9557.0,9394.0,9102.0,9540.0,11224.0,11903.0,11635.0
82,Texas State University,37812.0,38187.0,38644.0,38666.0,38808.0,37979.0,36739.0,35546.0,34225.0,34087.0,32572.0,30803.0,29105.0,28121.0,27485.0,27129.0,26783.0
83,Texas Tech University,40322.0,38742.0,38209.0,36996.0,36551.0,35859.0,35158.0,33111.0,32467.0,32327.0,31637.0,30049.0,28422.0,28260.0,27996.0,28001.0,28325.0
84,The Pennsylvania State University,89816.0,,,,,,,,,,,,,,,,
85,The University of Alabama,37840.0,38100.0,38390.0,38563.0,37663.0,37098.0,36047.0,34752.0,33503.0,31647.0,30127.0,28699.0,27014.0,25544.0,23838.0,21793.0,20929.0
86,The University of Montana,9808.0,10487.0,10962.0,11865.0,12419.0,13044.0,13952.0,14525.0,14946.0,15669.0,15642.0,14921.0,14207.0,13628.0,13925.0,13569.0,13558.0
87,The University of Tennessee-Knoxville,30559.0,29460.0,28894.0,28321.0,28052.0,27845.0,30386.0,30030.0,29833.0,30194.0,30300.0,29934.0,30410.0,29937.0,28901.0,28512.0,27792.0
88,The University of Texas at Arlington,48072.0,48635.0,47899.0,46497.0,45282.0,41988.0,39740.0,33329.0,33239.0,33439.0,32975.0,28085.0,25084.0,24889.0,24825.0,25432.0,25297.0
89,The University of Texas at Austin,50476.0,51090.0,51832.0,51525.0,51331.0,50950.0,51313.0,52059.0,52186.0,51112.0,51195.0,50995.0,49984.0,50170.0,49697.0,49696.0,50377.0
90,The University of Texas at Dallas,28669.0,29543.0,28755.0,27642.0,26793.0,24554.0,23095.0,21193.0,19727.0,18864.0,17128.0,15783.0,14913.0,14556.0,14523.0,14480.0,14092.0
91,The University of Texas at El Paso,24879.0,25177.0,25151.0,25078.0,23922.0,23397.0,23079.0,23003.0,22749.0,22640.0,22106.0,21011.0,20458.0,20154.0,19842.0,19268.0,18918.0
92,The University of Texas at San Antonio,34742.0,32594.0,32264.0,30768.0,28959.0,28787.0,28628.0,28623.0,30474.0,30968.0,30258.0,28955.0,28413.0,28533.0,28379.0,27337.0,26175.0
93,The University of Texas Rio Grande Valley,32441.0,29113.0,28644.0,27809.0,27560.0,28584.0,21015.0,20053.0,19302.0,19034.0,18744.0,18337.0,17534.0,17435.0,17337.0,17048.0,17030.0
