Institution,2012,2013,2014,2015,2016,2017,2018,2019
All institutions,65729007.0,67013138.0,67199090.0,68549882.0,71736098.0,75133630.0,79014076.0,83496348
Johns Hopkins U.a,2106185.0,2168568.0,2242478.0,2305679.0,2431180.0,2562307.0,2661033.0,2917436
"U. Michigan, Ann Arbor",1322711.0,1375117.0,1349262.0,1369278.0,1436448.0,1530139.0,1600869.0,1675805
"U. California, San Francisco",1032673.0,1042841.0,1084031.0,1126620.0,1294261.0,1409398.0,1595732.0,1595098
U. Pennsylvania,847077.0,828422.0,828350.0,864068.0,1296429.0,1374293.0,1441931.0,1506285
"U. Washington, Seattle",1109008.0,1192513.0,1176340.0,1180563.0,1277679.0,1348220.0,1413902.0,1425601
"U. California, San Diego",1073864.0,1075554.0,1067388.0,1101466.0,1087117.0,1133454.0,1265196.0,1353763
"U. California, Los Angeles",1003375.0,966659.0,948197.0,1021227.0,1037528.0,1076917.0,1318110.0,1306376
U. Wisconsin-Madison,1169779.0,1123501.0,1108564.0,1069077.0,1157680.0,1193413.0,1205518.0,1297331
Harvard U.,799432.0,1012766.0,933975.0,1013753.0,1077253.0,1123160.0,1173371.0,1239736
Duke U.,1009911.0,992821.0,1036813.0,1036698.0,1055778.0,1126924.0,1167611.0,1226517
Stanford U.,903238.0,945450.0,959247.0,1022551.0,1066269.0,1109708.0,1157597.0,1204116
"U. North Carolina, Chapel Hill",884791.0,973007.0,989766.0,966781.0,1045338.0,1102063.0,1136158.0,1153773
Cornell U.,802387.0,845184.0,883292.0,954412.0,974199.0,984478.0,1071621.0,1144534
U. Marylandb,,,,,,,,1096600
"U. Pittsburgh, Pittsburgh",866638.0,872736.0,856806.0,861205.0,889793.0,939706.0,1006513.0,1080951
Yale U.,656555.0,788784.0,772840.0,803004.0,881765.0,951084.0,990399.0,1072309
"U. Minnesota, Twin Cities",826173.0,858378.0,876870.0,880618.0,910181.0,921681.0,954683.0,1013112
Massachusetts Institute of Technology,824130.0,900524.0,908017.0,930719.0,946159.0,952017.0,964336.0,1009466
Columbia U. in the City of New York,889487.0,889188.0,890642.0,868159.0,837312.0,893062.0,947504.0,1003615
U. Texas M. D. Anderson Cancer Center,685814.0,718096.0,794980.0,833406.0,852095.0,888029.0,929710.0,969496
Georgia Institute of Technology,688905.0,730488.0,725550.0,765370.0,790706.0,804301.0,891728.0,960167
"Texas A&M U., College Station and Health Science Center",693421.0,820015.0,854214.0,866678.0,892718.0,905474.0,922178.0,952156
"Pennsylvania State U., University Park and Hershey Medical Center",797679.0,837880.0,800773.0,791031.0,825561.0,854815.0,908708.0,949679
New York U.,458645.0,471909.0,523623.0,602041.0,809739.0,917744.0,887558.0,934720
Ohio State U.,766513.0,793373.0,815075.0,817881.0,818464.0,864327.0,875014.0,929250
U. Florida,696985.0,695063.0,708526.0,739522.0,791294.0,801418.0,865093.0,928639
U. Southern California,623544.0,645636.0,687222.0,691031.0,702866.0,764322.0,891625.0,909683
"Washington U., Saint Louis",706410.0,684847.0,664752.0,694069.0,741115.0,754462.0,816139.0,887088
Northwestern U.,631078.0,639781.0,645333.0,656167.0,713491.0,751809.0,805672.0,857069
"U. California, Davis",713292.0,725734.0,711721.0,721077.0,741892.0,738347.0,788832.0,804282
"U. California, Berkeley",730348.0,727002.0,744343.0,788505.0,774255.0,770822.0,796505.0,802931
Emory U.,565766.0,575943.0,558600.0,585210.0,614527.0,664888.0,712417.0,794928
Vanderbilt U. and Vanderbilt U. Medical Center,560466.0,571603.0,683890.0,647816.0,640842.0,712036.0,738620.0,776937
U. Arizona,625365.0,629466.0,588088.0,606219.0,604464.0,622200.0,687066.0,734270
Michigan State U.,507061.0,515707.0,526906.0,558248.0,613369.0,694917.0,715290.0,725708
Icahn School of Medicine at Mount Sinai,400680.0,428654.0,463429.0,508353.0,540296.0,575448.0,640141.0,722241
"U. Texas, Austin",621538.0,634132.0,585251.0,604376.0,621692.0,652187.0,679781.0,696111
"U. Illinois, Urbana-Champaign",583754.0,743487.0,621733.0,639817.0,625180.0,642084.0,652709.0,677523
"Indiana U., Bloomington",184486.0,197897.0,206039.0,485076.0,508766.0,540421.0,566907.0,668157
"Purdue U., West Lafayette",602501.0,595739.0,564923.0,558611.0,606302.0,622813.0,631574.0,663927
"Rutgers, State U. New Jersey, New Brunswick",434901.0,493320.0,644116.0,628613.0,630212.0,681719.0,706282.0,657249
Baylor C. of Medicine,474700.0,508799.0,496314.0,520220.0,572527.0,604952.0,623396.0,651920
Arizona State U.,385959.0,405154.0,426651.0,458412.0,518239.0,545016.0,617717.0,639637
"U. Virginia, Charlottesville",383359.0,385828.0,358576.0,373218.0,397458.0,469682.0,551761.0,613938
"U. Alabama, Birmingham",453779.0,440796.0,428563.0,516229.0,537825.0,561851.0,588207.0,607863
U. Utah,430056.0,494058.0,486140.0,518928.0,350212.0,380295.0,552306.0,601133
U. Colorado Denver and Anschutz Medical Campus,431977.0,409443.0,411020.0,410081.0,443705.0,480598.0,525531.0,542732
Virginia Polytechnic Institute and State U.,454417.0,496169.0,513149.0,504282.0,521773.0,522425.0,531636.0,541969
North Carolina State U.,404225.0,417468.0,446112.0,468293.0,489918.0,500445.0,509841.0,541100
Boston U.,334496.0,368281.0,367328.0,388336.0,395921.0,421360.0,484205.0,534205
U. Cincinnati,433668.0,438642.0,422873.0,436028.0,430579.0,455250.0,480095.0,529796
U. Colorado Boulder,392004.0,385849.0,379475.0,420775.0,453123.0,499389.0,514573.0,513822
U. Iowa,446429.0,435377.0,449147.0,443218.0,473362.0,494280.0,511973.0,508353
U. Texas Southwestern Medical Center,435085.0,440620.0,434627.0,438824.0,442666.0,461797.0,474260.0,496697
U. Georgia,351395.0,350225.0,355471.0,374264.0,410345.0,455432.0,453249.0,477536
U. Chicago,419631.0,402621.0,390082.0,412536.0,420997.0,433328.0,423993.0,459171
"U. California, Irvine",350030.0,347773.0,340056.0,329798.0,345319.0,361414.0,426610.0,448967
Case Western Reserve U.,431090.0,425788.0,419011.0,401527.0,405655.0,408609.0,434441.0,438994
Scripps Research Institute,398673.0,399899.0,386231.0,384161.0,364670.0,354582.0,396839.0,427734
Uniformed Services U. of the Health Sciences,143250.0,164232.0,262489.0,361173.0,256203.0,298370.0,308326.0,417300
Oregon Health and Science U.,305530.0,308767.0,314802.0,326915.0,331524.0,348449.0,372180.0,415629
"SUNY, U. Buffalo",360226.0,387863.0,386562.0,382935.0,389569.0,401591.0,410220.0,413817
U. Kentucky,360776.0,339764.0,328239.0,331705.0,349661.0,378374.0,393034.0,410581
California Institute of Technology,379713.0,347105.0,367182.0,374424.0,371060.0,400312.0,391003.0,399931
"Colorado State U., Fort Collins",375919.0,313238.0,307978.0,317219.0,331862.0,338404.0,374955.0,398477
U. Rochester,389612.0,389355.0,353419.0,346932.0,346165.0,353003.0,370645.0,393960
"U. South Florida, Tampa",443206.0,459409.0,488641.0,485354.0,505965.0,557889.0,385686.0,391325
Princeton U.,275666.0,269908.0,293274.0,279851.0,307653.0,334125.0,365007.0,385739
"U. Illinois, Chicago",388625.0,367848.0,347888.0,354560.0,337296.0,372619.0,361690.0,382949
Washington State U.,335930.0,341082.0,326414.0,333134.0,334082.0,356901.0,360522.0,369333
U. Miami,365301.0,344757.0,345805.0,331036.0,358441.0,367877.0,357104.0,360716
Carnegie Mellon U.,255933.0,271277.0,251222.0,242004.0,319168.0,328100.0,331383.0,359720
Iowa State U.,260995.0,266596.0,313263.0,306125.0,328385.0,323584.0,361206.0,358474
"SUNY, Polytechnic Institute",,,412851.0,295313.0,316680.0,308861.0,257358.0,352889
U. Kansas,286262.0,298498.0,301534.0,311383.0,297933.0,300319.0,339046.0,352643
Rockefeller U.,292896.0,298474.0,316368.0,323932.0,335136.0,348845.0,353142.0,351089
Dartmouth C. and Dartmouth Hitchcock Medical Center,195930.0,201591.0,212606.0,209646.0,233636.0,308445.0,323927.0,342142
Florida State U.,225378.0,250877.0,252548.0,256449.0,268288.0,282901.0,297661.0,329205
"U. Nebraska, Lincoln",253321.0,266507.0,278299.0,284438.0,294856.0,302204.0,308053.0,316820
"U. Oklahoma, Norman and Health Science Center",240974.0,255674.0,253344.0,242367.0,259998.0,272239.0,283638.0,302679
Albert Einstein C. of Medicine,,,,,289660.0,289685.0,297328.0,298824
"Louisiana State U., Baton Rouge",285395.0,283400.0,290076.0,281154.0,291972.0,265168.0,286726.0,296497
Medical U. South Carolina,236586.0,245451.0,242594.0,243534.0,260098.0,262267.0,282253.0,295600
U. Connecticut,256854.0,242251.0,258056.0,259397.0,265522.0,267647.0,269685.0,285764
Temple U.,138318.0,224087.0,224101.0,227468.0,246392.0,268385.0,276011.0,284301
Utah State U.,157355.0,158352.0,169605.0,175353.0,180590.0,187314.0,219397.0,283917
"U. Massachusetts, Medical School",256090.0,245923.0,241869.0,250338.0,253099.0,279884.0,274211.0,281507
"U. Hawaii, Manoa",312311.0,326750.0,324342.0,316497.0,304476.0,292021.0,276388.0,280416
"U. Missouri, Columbia",239810.0,236423.0,237266.0,246684.0,248300.0,253952.0,256183.0,278793
"U. Texas Health Science Center, Houston",236250.0,233256.0,233737.0,234299.0,237016.0,246060.0,258411.0,271525
George Washington U.,196448.0,202428.0,227995.0,241117.0,231829.0,245519.0,260656.0,269799
Mississippi State U.,233197.0,206424.0,209729.0,226359.0,239446.0,240972.0,244102.0,264526
Oregon State U.,240507.0,232677.0,230963.0,245317.0,254275.0,267068.0,272433.0,263830
"SUNY, Stony Brook U.",219744.0,225712.0,211631.0,220580.0,230621.0,238612.0,245016.0,260813
Brown U.,365120.0,361010.0,341531.0,342040.0,347016.0,212290.0,244838.0,256954
Virginia Commonwealth U.,201366.0,196015.0,201858.0,218925.0,225999.0,235464.0,246190.0,255648
"U. Tennessee, Knoxville",179252.0,193054.0,179041.0,173533.0,183268.0,203800.0,259607.0,247693
Medical C. Wisconsin,209040.0,201237.0,199713.0,199283.0,199925.0,209618.0,229436.0,244752
Wayne State U.,227070.0,224331.0,218435.0,213878.0,221537.0,227728.0,238859.0,244217
"U. California, Santa Barbara",233883.0,236497.0,231322.0,222870.0,230139.0,238246.0,235164.0,243778
Georgetown U.,180308.0,178995.0,172726.0,176131.0,183788.0,212319.0,221449.0,240960
U. Notre Dame,157691.0,175220.0,182228.0,190954.0,202216.0,212823.0,219993.0,240078
U. New Mexico,220360.0,227703.0,228849.0,232271.0,239550.0,246597.0,251322.0,239696
Wake Forest U.,204328.0,182721.0,176380.0,171926.0,170006.0,182227.0,191371.0,238933
"Auburn U., Auburn",133013.0,147229.0,142487.0,135899.0,152381.0,190340.0,212925.0,231619
Woods Hole Oceanographic Institution,204352.0,198232.0,220016.0,216592.0,212374.0,194088.0,204400.0,229143
Florida International U.,118058.0,128070.0,132531.0,163033.0,170846.0,177292.0,196180.0,225864
U. Central Florida,116891.0,126681.0,185555.0,215519.0,198211.0,200387.0,215332.0,225085
"U. Massachusetts, Amherst",194775.0,190739.0,200199.0,213902.0,214576.0,210416.0,211140.0,223177
Clemson U.,142096.0,152444.0,161070.0,171215.0,183965.0,193268.0,213458.0,218760
Kansas State U.,176141.0,183096.0,184945.0,188721.0,193254.0,196478.0,218299.0,218622
Tufts U.,160922.0,156525.0,160825.0,168314.0,189085.0,223409.0,213457.0,213285
U. Delaware,170174.0,179967.0,175563.0,175724.0,176295.0,183428.0,186192.0,206270
"U. South Carolina, Columbia",214901.0,203365.0,206173.0,208736.0,209271.0,208670.0,206355.0,205940
Tulane U.,164373.0,160414.0,157825.0,152658.0,165438.0,180993.0,193294.0,196933
Georgia State U.,91148.0,111999.0,123915.0,139596.0,161314.0,200171.0,201235.0,195572
U. Houston,116288.0,130844.0,140597.0,150628.0,162049.0,169431.0,177484.0,195398
"U. Nebraska, Medical Center",141619.0,137485.0,139126.0,145009.0,150694.0,171491.0,177245.0,194455
Texas Tech U.,138026.0,142676.0,159308.0,163897.0,172521.0,191482.0,185742.0,193923
"U. Texas Health Science Center, San Antonio",184298.0,175983.0,172716.0,170277.0,194885.0,169200.0,179219.0,188483
West Virginia U.,169303.0,167144.0,164454.0,170145.0,172477.0,185606.0,185110.0,187512
George Mason U.,90198.0,95913.0,98680.0,106410.0,108899.0,112404.0,149138.0,186267
"Oklahoma State U., Stillwater",166523.0,134500.0,126543.0,129968.0,181617.0,189024.0,188756.0,184276
Northeastern U.,107862.0,116088.0,116245.0,122915.0,129040.0,142349.0,166711.0,183998
Rice U.,117223.0,131003.0,138536.0,144679.0,154543.0,167277.0,161831.0,182564
"SUNY, U. Albany",137758.0,137759.0,130955.0,111705.0,120232.0,156386.0,173031.0,181531
"U. Arkansas, Fayetteville",123199.0,125501.0,125824.0,133660.0,145020.0,157791.0,175498.0,180225
"U. California, Riverside",135494.0,132617.0,133558.0,144511.0,152233.0,163632.0,167847.0,177655
U. Texas Medical Branch,180888.0,180198.0,178014.0,173506.0,179541.0,185106.0,181831.0,175372
U. Louisville,196842.0,186772.0,183376.0,163262.0,172907.0,177588.0,176655.0,173462
Thomas Jefferson U.,100506.0,89273.0,118378.0,119631.0,122396.0,142569.0,148573.0,170458
U. Dayton,81030.0,84252.0,86881.0,98182.0,116589.0,135214.0,147001.0,165343
New Jersey Institute of Technology,102851.0,107310.0,106081.0,110512.0,130812.0,142164.0,162349.0,161232
U. Mississippi,121731.0,108168.0,109922.0,94040.0,121665.0,134542.0,137521.0,158809
"Montana State U., Bozeman",124228.0,113136.0,113348.0,108414.0,112073.0,129622.0,125129.0,154811
Syracuse U.,85649.0,70967.0,66321.0,69896.0,84651.0,145705.0,147751.0,154366
U. Arkansas for Medical Sciences,129056.0,133677.0,131438.0,132451.0,125378.0,128508.0,139187.0,153135
North Dakota State U.,135493.0,150173.0,154437.0,153542.0,156297.0,153119.0,145669.0,152381
"U. Nevada, Reno",85726.0,89797.0,87324.0,90138.0,95475.0,105869.0,144426.0,152128
Drexel U.,116768.0,123813.0,131170.0,128027.0,127909.0,138577.0,155908.0,149481
U. New Hampshire,165156.0,147446.0,147544.0,144735.0,145015.0,145375.0,146430.0,148980
"U. Alaska, Fairbanks",160407.0,162658.0,155769.0,142742.0,144259.0,152694.0,140917.0,144457
"U. Louisiana, Lafayette",65275.0,61887.0,67580.0,77300.0,80099.0,100956.0,124713.0,144187
"U. California, Santa Cruz",155516.0,150777.0,151734.0,151713.0,151192.0,124344.0,127538.0,142958
U. Vermont,115697.0,115486.0,109701.0,114547.0,115611.0,117667.0,128293.0,135859
U. Maine,92135.0,77583.0,101247.0,79500.0,79222.0,99502.0,106694.0,129913
Wichita State U.,61279.0,61388.0,58859.0,59940.0,65930.0,78514.0,81137.0,128795
Cold Spring Harbor Laboratory,84072.0,78236.0,76733.0,84653.0,88943.0,97288.0,115870.0,126773
"U. Texas, Dallas",90700.0,98842.0,99727.0,98551.0,106205.0,113205.0,113315.0,126661
"U. Texas, Arlington",78556.0,86735.0,89175.0,77798.0,87386.0,97197.0,105688.0,123207
U. Rhode Island,114323.0,101898.0,91706.0,93828.0,97900.0,101871.0,104490.0,115160
U. Idaho,97227.0,95891.0,95594.0,97493.0,102457.0,109537.0,111590.0,113107
U. North Dakota,80149.0,68942.0,67595.0,64384.0,70275.0,102823.0,109865.0,110836
U. Oregon,105030.0,94522.0,91203.0,79698.0,100754.0,95974.0,111896.0,110664
"U. Alabama, Huntsville",87388.0,101016.0,89325.0,88439.0,96865.0,94376.0,99405.0,109744
"U. Texas, El Paso",79649.0,83249.0,79537.0,89418.0,91330.0,94565.0,91032.0,106809
"U. Montana, Missoula",59313.0,60189.0,55032.0,60485.0,70059.0,85044.0,90563.0,104665
"SUNY, Binghamton U.",81000.0,76005.0,71382.0,79895.0,85192.0,98089.0,113851.0,104297
Rensselaer Polytechnic Institute,92720.0,92495.0,105608.0,102841.0,101127.0,104797.0,100856.0,103739
New Mexico State U.,141151.0,142365.0,134262.0,132377.0,106282.0,102218.0,96270.0,101457
"U. Nevada, Las Vegas",34543.0,35935.0,39448.0,42000.0,62825.0,66285.0,83800.0,99445
"U. Tennessee, Health Science Center",77754.0,71902.0,67841.0,65771.0,71547.0,73393.0,79460.0,96979
Augusta U.,,64033.0,64118.0,67737.0,71338.0,99661.0,99081.0,96502
Rush U.,80300.0,81770.0,80551.0,79048.0,73351.0,74062.0,89101.0,96267
San Diego State U.,92867.0,86733.0,95674.0,93572.0,90722.0,89187.0,88177.0,92964
"U. Texas, San Antonio",57233.0,53626.0,47061.0,54949.0,59831.0,70163.0,72682.0,84326
"U. Massachusetts, Lowell",60624.0,63136.0,64591.0,70384.0,68494.0,69677.0,72266.0,83996
"U. Alabama, Tuscaloosa",55885.0,55443.0,53140.0,58234.0,62549.0,63282.0,71992.0,83317
"U. Maryland, Baltimore County",74993.0,71819.0,67833.0,68688.0,70166.0,70406.0,71481.0,80632
Michigan Technological U.,71989.0,70689.0,68526.0,69607.0,72536.0,71629.0,78678.0,80443
U. Wyoming,65611.0,65490.0,51422.0,56996.0,112056.0,125032.0,113063.0,80353
Cleveland State U.,61111.0,67378.0,61783.0,57662.0,77720.0,83762.0,83641.0,80077
"U. North Texas, Denton",46943.0,49518.0,44180.0,43628.0,37106.0,43789.0,44025.0,78691
U. Southern Mississippi,60079.0,51962.0,51938.0,51840.0,59363.0,61659.0,61336.0,76464
"U. Tennessee, Knoxville, Institute of Agriculture",68480.0,67887.0,67171.0,67059.0,69136.0,70192.0,70305.0,71396
American U.,43526.0,61087.0,63628.0,58325.0,57064.0,56034.0,61741.0,71053
Colorado School of Mines,58836.0,59091.0,59695.0,58349.0,60931.0,59477.0,60372.0,70397
"U. California, Office of the President",65627.0,67447.0,50103.0,48341.0,39051.0,46399.0,55676.0,67702
"Indiana U.-Purdue U., Indianapolis",316914.0,332760.0,324261.0,55973.0,57853.0,58056.0,60501.0,67635
Old Dominion U.,104579.0,99138.0,67037.0,65092.0,70054.0,67990.0,60321.0,67425
Naval Postgraduate School,132450.0,94880.0,99032.0,89170.0,65529.0,60386.0,59213.0,67323
South Dakota State U.,68743.0,63843.0,58334.0,58373.0,60677.0,63412.0,63465.0,66794
Saint Louis U.,49086.0,48231.0,44481.0,44457.0,42151.0,56402.0,60380.0,66103
William & Mary,55805.0,57940.0,59015.0,61554.0,63027.0,64127.0,65269.0,64835
Texas State U.,36664.0,37053.0,39265.0,47694.0,54298.0,60741.0,64322.0,64554
