,Institution Name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
94,University at Buffalo,87.0,86.0,87.0,87.0,86.0,88.0,88.0,88.0,87.0,88.0,88.0,89.0,87.0,87.0,87.0,87.0,84.0,
95,University of Akron Main Campus,75.0,71.0,72.0,73.0,73.0,74.0,74.0,66.0,67.0,72.0,71.0,69.0,69.0,68.0,66.0,64.0,64.0,
96,University of Alabama at Birmingham,86.0,83.0,82.0,84.0,82.0,79.0,83.0,80.0,80.0,79.0,80.0,82.0,80.0,75.0,75.0,77.0,77.0,75.0
97,University of Alabama in Huntsville,82.0,83.0,83.0,82.0,83.0,80.0,77.0,81.0,79.0,79.0,75.0,76.0,77.0,77.0,77.0,75.0,76.0,76.0
98,University of Alaska Fairbanks,78.0,73.0,73.0,77.0,75.0,75.0,78.0,77.0,74.0,76.0,76.0,80.0,73.0,72.0,74.0,68.0,70.0,
99,University of Arizona,85.0,83.0,81.0,83.0,80.0,80.0,82.0,81.0,80.0,77.0,77.0,78.0,79.0,80.0,79.0,79.0,79.0,77.0
100,University of Arkansas,85.0,84.0,84.0,82.0,82.0,82.0,83.0,82.0,81.0,83.0,83.0,83.0,81.0,83.0,83.0,81.0,84.0,
101,University of Arkansas at Little Rock,73.0,66.0,68.0,69.0,68.0,72.0,71.0,70.0,67.0,62.0,64.0,65.0,62.0,59.0,60.0,61.0,64.0,64.0
102,University of California-Berkeley,96.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,97.0,96.0,97.0,97.0,95.0,96.0,96.0,
103,University of California-Davis,93.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,92.0,93.0,92.0,92.0,90.0,91.0,91.0,92.0,91.0,
104,University of California-Irvine,94.0,94.0,93.0,94.0,92.0,93.0,92.0,92.0,93.0,94.0,95.0,94.0,94.0,94.0,93.0,93.0,93.0,
105,University of California-Los Angeles,96.0,97.0,97.0,97.0,97.0,96.0,97.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,
106,University of California-Merced,86.0,85.0,81.0,81.0,86.0,84.0,83.0,84.0,83.0,85.0,87.0,83.0,79.0,80.0,82.0,0.0,,
107,University of California-Riverside,91.0,90.0,89.0,89.0,91.0,91.0,90.0,89.0,88.0,88.0,87.0,87.0,84.0,83.0,86.0,86.0,85.0,
108,University of California-San Diego,94.0,93.0,94.0,94.0,95.0,95.0,95.0,94.0,94.0,96.0,96.0,95.0,94.0,95.0,94.0,95.0,93.0,
109,University of California-Santa Barbara,91.0,92.0,92.0,93.0,93.0,93.0,92.0,92.0,91.0,92.0,91.0,91.0,91.0,91.0,89.0,90.0,91.0,
110,University of California-Santa Cruz,85.0,89.0,88.0,91.0,90.0,88.0,89.0,89.0,91.0,91.0,89.0,89.0,88.0,89.0,88.0,88.0,88.0,
111,University of Central Florida,92.0,91.0,90.0,90.0,89.0,89.0,88.0,87.0,88.0,87.0,87.0,87.0,86.0,84.0,82.0,83.0,82.0,83.0
112,University of Cincinnati-Main Campus,88.0,88.0,86.0,86.0,88.0,88.0,86.0,85.0,86.0,85.0,84.0,85.0,83.0,82.0,80.0,79.0,77.0,
113,University of Colorado Boulder,85.0,87.0,88.0,87.0,86.0,86.0,84.0,85.0,83.0,84.0,85.0,83.0,84.0,83.0,84.0,83.0,84.0,83.0
114,University of Colorado Colorado Springs,71.0,70.0,69.0,66.0,69.0,68.0,66.0,71.0,67.0,71.0,69.0,67.0,73.0,70.0,64.0,69.0,68.0,
115,University of Colorado Denver/Anschutz Medical Campus,73.0,70.0,72.0,67.0,71.0,68.0,72.0,75.0,71.0,76.0,73.0,70.0,71.0,72.0,71.0,72.0,69.0,66.0
116,University of Connecticut,93.0,94.0,93.0,94.0,92.0,92.0,93.0,94.0,93.0,92.0,93.0,92.0,93.0,93.0,93.0,92.0,90.0,
117,University of Delaware,90.0,91.0,90.0,91.0,91.0,92.0,91.0,92.0,92.0,93.0,92.0,89.0,91.0,90.0,90.0,89.0,89.0,90.0
118,University of Florida,97.0,97.0,97.0,96.0,97.0,96.0,96.0,96.0,96.0,95.0,96.0,96.0,95.0,95.0,94.0,94.0,94.0,93.0
119,University of Georgia,94.0,96.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,93.0,93.0
120,University of Hawaii at Manoa,80.0,81.0,79.0,79.0,77.0,78.0,79.0,78.0,79.0,79.0,77.0,78.0,77.0,78.0,77.0,76.0,75.0,
121,University of Houston,86.0,85.0,85.0,85.0,80.0,86.0,86.0,85.0,83.0,81.0,82.0,79.0,79.0,77.0,76.0,77.0,77.0,79.0
122,University of Idaho,77.0,77.0,81.0,82.0,78.0,80.0,77.0,79.0,77.0,80.0,81.0,77.0,77.0,79.0,75.0,78.0,80.0,82.0
123,University of Illinois Chicago,82.0,79.0,80.0,80.0,80.0,81.0,80.0,80.0,78.0,79.0,82.0,81.0,78.0,79.0,79.0,77.0,77.0,78.0
124,University of Illinois Urbana-Champaign,94.0,93.0,93.0,92.0,94.0,93.0,93.0,93.0,94.0,93.0,94.0,93.0,94.0,93.0,93.0,93.0,90.0,93.0
125,University of Iowa,88.0,86.0,86.0,86.0,87.0,85.0,86.0,86.0,86.0,86.0,86.0,83.0,83.0,83.0,84.0,84.0,83.0,82.0
126,University of Kansas,86.0,86.0,84.0,83.0,81.0,80.0,80.0,80.0,79.0,80.0,79.0,78.0,80.0,79.0,80.0,82.0,83.0,82.0
127,University of Kentucky,86.0,85.0,85.0,83.0,82.0,83.0,82.0,83.0,81.0,82.0,82.0,80.0,81.0,76.0,78.0,79.0,78.0,77.0
128,University of Louisiana at Lafayette,79.0,76.0,75.0,75.0,75.0,76.0,76.0,74.0,74.0,74.0,73.0,76.0,74.0,75.0,73.0,71.0,73.0,71.0
129,University of Louisville,81.0,80.0,80.0,81.0,80.0,79.0,81.0,78.0,77.0,78.0,78.0,79.0,78.0,78.0,78.0,77.0,76.0,
130,University of Maine,78.0,74.0,78.0,75.0,76.0,76.0,77.0,81.0,76.0,78.0,79.0,79.0,76.0,78.0,79.0,79.0,76.0,77.0
131,University of Maryland Eastern Shore,73.0,62.0,63.0,64.0,58.0,68.0,73.0,68.0,69.0,68.0,65.0,70.0,66.0,65.0,65.0,64.0,67.0,68.0
132,University of Maryland-Baltimore County,87.0,87.0,87.0,88.0,87.0,86.0,89.0,87.0,85.0,85.0,84.0,85.0,87.0,84.0,82.0,82.0,82.0,81.0
133,University of Maryland-College Park,95.0,95.0,95.0,96.0,95.0,95.0,96.0,95.0,94.0,95.0,95.0,93.0,94.0,93.0,92.0,93.0,93.0,93.0
134,University of Massachusetts-Amherst,89.0,91.0,91.0,91.0,91.0,91.0,90.0,89.0,88.0,89.0,89.0,87.0,86.0,84.0,83.0,84.0,82.0,84.0
135,University of Massachusetts-Boston,76.0,75.0,76.0,78.0,79.0,78.0,80.0,77.0,79.0,75.0,75.0,77.0,75.0,75.0,70.0,71.0,71.0,70.0
136,University of Massachusetts-Dartmouth,71.0,70.0,71.0,74.0,73.0,75.0,79.0,76.0,74.0,74.0,70.0,73.0,74.0,76.0,74.0,76.0,76.0,76.0
137,University of Massachusetts-Lowell,84.0,83.0,85.0,86.0,85.0,86.0,84.0,84.0,81.0,79.0,78.0,81.0,79.0,75.0,76.0,70.0,75.0,75.0
138,University of Memphis,80.0,78.0,76.0,75.0,80.0,77.0,78.0,76.0,76.0,77.0,78.0,76.0,75.0,73.0,72.0,71.0,74.0,75.0
139,University of Michigan-Ann Arbor,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
140,University of Minnesota-Twin Cities,93.0,93.0,93.0,93.0,93.0,93.0,92.0,90.0,91.0,90.0,89.0,90.0,88.0,88.0,86.0,87.0,86.0,86.0
141,University of Mississippi,86.0,87.0,85.0,85.0,85.0,87.0,85.0,86.0,81.0,81.0,83.0,81.0,78.0,80.0,80.0,79.0,81.0,
142,University of Missouri-Columbia,89.0,88.0,87.0,87.0,86.0,87.0,86.0,84.0,84.0,85.0,84.0,85.0,85.0,85.0,84.0,84.0,84.0,
143,University of Missouri-Kansas City,75.0,76.0,73.0,75.0,75.0,75.0,73.0,73.0,69.0,74.0,75.0,74.0,76.0,71.0,70.0,48.0,73.0,
144,University of Missouri-St Louis,82.0,77.0,76.0,75.0,79.0,75.0,79.0,75.0,78.0,78.0,74.0,69.0,73.0,71.0,71.0,72.0,68.0,
145,University of Nebraska at Omaha,77.0,74.0,75.0,76.0,77.0,77.0,77.0,75.0,72.0,73.0,73.0,72.0,69.0,74.0,71.0,75.0,75.0,73.0
146,University of Nebraska-Lincoln,85.0,81.0,83.0,83.0,82.0,83.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,83.0,84.0,84.0,79.0,80.0
147,University of Nevada-Las Vegas,80.0,79.0,76.0,74.0,77.0,74.0,77.0,77.0,76.0,76.0,78.0,73.0,76.0,75.0,70.0,72.0,73.0,72.0
148,University of Nevada-Reno,80.0,81.0,81.0,81.0,81.0,81.0,82.0,80.0,79.0,79.0,79.0,80.0,75.0,79.0,77.0,75.0,76.0,76.0
149,University of New Hampshire-Main Campus,86.0,86.0,86.0,86.0,86.0,85.0,86.0,86.0,86.0,87.0,88.0,87.0,89.0,87.0,86.0,85.0,85.0,
150,University of New Mexico-Main Campus,77.0,77.0,74.0,78.0,80.0,80.0,79.0,78.0,77.0,74.0,78.0,79.0,77.0,77.0,74.0,76.0,75.0,76.0
151,University of New Orleans,70.0,68.0,71.0,62.0,64.0,62.0,69.0,67.0,65.0,67.0,64.0,69.0,69.0,69.0,79.0,19.0,67.0,
152,University of North Carolina at Chapel Hill,95.0,96.0,97.0,96.0,96.0,97.0,97.0,96.0,97.0,97.0,96.0,96.0,96.0,96.0,97.0,96.0,95.0,95.0
153,University of North Carolina at Charlotte,85.0,83.0,82.0,83.0,82.0,83.0,82.0,80.0,77.0,78.0,77.0,78.0,78.0,77.0,77.0,79.0,77.0,76.0
154,University of North Carolina at Greensboro,81.0,75.0,77.0,78.0,76.0,77.0,78.0,74.0,76.0,76.0,77.0,77.0,75.0,76.0,76.0,77.0,77.0,75.0
155,University of North Carolina Wilmington,84.0,86.0,83.0,87.0,85.0,85.0,84.0,86.0,86.0,86.0,86.0,85.0,85.0,85.0,83.0,83.0,86.0,86.0
156,University of North Dakota,81.0,78.0,80.0,81.0,80.0,81.0,80.0,75.0,74.0,77.0,79.0,77.0,78.0,75.0,80.0,75.0,75.0,
157,University of North Texas,85.0,79.0,78.0,78.0,80.0,79.0,78.0,75.0,76.0,78.0,78.0,76.0,75.0,74.0,76.0,75.0,74.0,75.0
158,University of Oklahoma-Norman Campus,87.0,88.0,90.0,92.0,90.0,86.0,85.0,84.0,84.0,85.0,83.0,82.0,83.0,84.0,85.0,83.0,84.0,82.0
159,University of Oregon,84.0,86.0,85.0,86.0,87.0,88.0,87.0,87.0,85.0,86.0,86.0,84.0,82.0,84.0,83.0,83.0,85.0,82.0
160,University of Pittsburgh-Pittsburgh Campus,93.0,93.0,93.0,93.0,92.0,92.0,93.0,91.0,93.0,90.0,92.0,93.0,91.0,90.0,89.0,90.0,89.0,88.0
161,University of Puerto Rico-Rio Piedras,84.0,84.0,84.0,77.0,90.0,92.0,90.0,90.0,92.0,87.0,85.0,91.0,90.0,90.0,89.0,87.0,87.0,
162,University of Rhode Island,85.0,86.0,83.0,85.0,83.0,84.0,82.0,81.0,81.0,82.0,80.0,79.0,80.0,81.0,81.0,80.0,79.0,
163,University of South Alabama,76.0,74.0,74.0,78.0,73.0,73.0,71.0,68.0,66.0,65.0,66.0,67.0,67.0,70.0,72.0,70.0,72.0,
164,University of South Carolina-Columbia,90.0,89.0,88.0,88.0,88.0,87.0,88.0,87.0,87.0,87.0,86.0,87.0,87.0,87.0,86.0,83.0,85.0,84.0
165,University of South Dakota,81.0,78.0,77.0,72.0,76.0,77.0,74.0,76.0,75.0,78.0,75.0,73.0,76.0,72.0,71.0,69.0,68.0,
166,University of South Florida,92.0,91.0,91.0,90.0,90.0,88.0,89.0,89.0,90.0,88.0,88.0,86.0,88.0,81.0,81.0,82.0,81.0,0.0
167,University of Southern Mississippi,75.0,68.0,72.0,71.0,74.0,73.0,74.0,72.0,75.0,72.0,77.0,74.0,72.0,73.0,73.0,75.0,75.0,71.0
168,University of Toledo,78.0,76.0,76.0,74.0,74.0,72.0,70.0,68.0,62.0,65.0,65.0,68.0,70.0,68.0,69.0,69.0,66.0,
169,University of Utah,89.0,89.0,89.0,90.0,90.0,89.0,89.0,88.0,88.0,87.0,85.0,85.0,83.0,80.0,77.0,83.0,85.0,80.0
170,University of Vermont,85.0,87.0,87.0,86.0,87.0,86.0,87.0,86.0,85.0,85.0,87.0,85.0,86.0,86.0,84.0,88.0,84.0,83.0
171,University of Virginia-Main Campus,97.0,97.0,97.0,96.0,96.0,97.0,97.0,97.0,98.0,97.0,96.0,97.0,97.0,97.0,97.0,97.0,96.0,97.0
172,University of Washington-Seattle Campus,93.0,95.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,93.0,92.0,92.0,92.0,93.0,92.0,90.0
173,University of Wisconsin-Madison,95.0,95.0,95.0,95.0,95.0,96.0,95.0,95.0,95.0,94.0,95.0,94.0,94.0,93.0,93.0,94.0,92.0,
174,University of Wisconsin-Milwaukee,75.0,76.0,73.0,74.0,72.0,72.0,70.0,70.0,69.0,70.0,73.0,73.0,69.0,72.0,70.0,73.0,73.0,
175,University of Wyoming,80.0,76.0,78.0,78.0,77.0,77.0,76.0,74.0,76.0,74.0,74.0,72.0,72.0,74.0,75.0,74.0,77.0,75.0
176,Utah State University,73.0,74.0,73.0,69.0,73.0,71.0,71.0,66.0,72.0,72.0,72.0,74.0,73.0,74.0,72.0,70.0,73.0,75.0
177,Virginia Commonwealth University,83.0,83.0,85.0,83.0,86.0,86.0,86.0,87.0,85.0,86.0,85.0,83.0,85.0,82.0,81.0,80.0,79.0,
178,Virginia Polytechnic Institute and State University,93.0,93.0,93.0,93.0,93.0,94.0,93.0,91.0,92.0,91.0,92.0,91.0,91.0,93.0,89.0,88.0,87.0,87.0
179,Washington State University,81.0,79.0,79.0,81.0,79.0,78.0,80.0,80.0,82.0,84.0,82.0,84.0,82.0,84.0,82.0,85.0,84.0,85.0
180,Wayne State University,82.0,79.0,79.0,81.0,82.0,77.0,76.0,77.0,75.0,77.0,77.0,76.0,70.0,69.0,69.0,71.0,74.0,
181,West Virginia University,82.0,79.0,76.0,80.0,79.0,79.0,77.0,77.0,77.0,78.0,80.0,80.0,81.0,79.0,81.0,80.0,80.0,
182,Western Michigan University,78.0,78.0,80.0,78.0,79.0,79.0,78.0,74.0,73.0,74.0,76.0,72.0,73.0,75.0,74.0,73.0,75.0,76.0
183,Wichita State University,71.0,69.0,73.0,73.0,72.0,72.0,75.0,74.0,70.0,73.0,70.0,70.0,72.0,67.0,70.0,69.0,67.0,71.0
184,William & Mary,93.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,95.0,95.0,95.0,96.0,95.0,96.0,95.0,95.0,94.0
185,Wright State University-Main Campus,65.0,62.0,64.0,65.0,66.0,67.0,66.0,62.0,56.0,62.0,71.0,70.0,97.0,66.0,68.0,73.0,71.0,67.0
