,Institution Name,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
94,University at Buffalo,75.0,76.0,75.0,74.0,74.0,72.0,72.0,70.0,71.0,67.0,63.0,62.0,61.0,61.0,59.0,60.0
95,University of Akron Main Campus,51.0,43.0,43.0,43.0,40.0,41.0,40.0,40.0,38.0,35.0,33.0,33.0,34.0,37.0,35.0,35.0
96,University of Alabama at Birmingham,63.0,58.0,53.0,53.0,55.0,55.0,53.0,48.0,45.0,41.0,39.0,40.0,38.0,36.0,36.0,38.0
97,University of Alabama in Huntsville,58.0,52.0,49.0,49.0,49.0,46.0,48.0,47.0,45.0,44.0,48.0,48.0,44.0,44.0,44.0,45.0
98,University of Alaska Fairbanks,41.0,40.0,38.0,39.0,41.0,42.0,37.0,33.0,31.0,32.0,35.0,27.0,31.0,29.0,22.0,25.0
99,University of Arizona,65.0,64.0,64.0,60.0,61.0,60.0,61.0,61.0,61.0,60.0,58.0,57.0,56.0,56.0,59.0,57.0
100,University of Arkansas,66.0,66.0,62.0,64.0,62.0,62.0,60.0,60.0,59.0,58.0,59.0,58.0,58.0,56.0,56.0,53.0
101,University of Arkansas at Little Rock,40.0,35.0,31.0,28.0,27.0,24.0,21.0,19.0,21.0,21.0,14.0,21.0,19.0,24.0,21.0,26.0
102,University of California-Berkeley,93.0,91.0,91.0,92.0,92.0,91.0,91.0,91.0,90.0,91.0,90.0,90.0,88.0,89.0,87.0,87.0
103,University of California-Davis,87.0,86.0,85.0,85.0,85.0,83.0,81.0,81.0,82.0,82.0,80.0,81.0,79.0,81.0,80.0,81.0
104,University of California-Irvine,84.0,83.0,85.0,87.0,88.0,86.0,86.0,86.0,85.0,83.0,82.0,81.0,80.0,79.0,80.0,80.0
105,University of California-Los Angeles,92.0,91.0,91.0,91.0,91.0,91.0,90.0,92.0,90.0,90.0,89.0,89.0,90.0,89.0,87.0,87.0
106,University of California-Merced,69.0,66.0,64.0,66.0,66.0,64.0,57.0,58.0,58.0,,,,,,,
107,University of California-Riverside,76.0,75.0,75.0,73.0,73.0,69.0,66.0,66.0,67.0,68.0,65.0,64.0,66.0,64.0,65.0,64.0
108,University of California-San Diego,87.0,86.0,85.0,87.0,87.0,86.0,86.0,86.0,85.0,86.0,84.0,85.0,84.0,86.0,85.0,83.0
109,University of California-Santa Barbara,83.0,82.0,81.0,82.0,81.0,81.0,81.0,80.0,80.0,79.0,80.0,81.0,80.0,78.0,79.0,75.0
110,University of California-Santa Cruz,75.0,74.0,77.0,77.0,78.0,77.0,73.0,74.0,73.0,74.0,73.0,72.0,68.0,70.0,70.0,69.0
111,University of Central Florida,72.0,73.0,70.0,69.0,70.0,70.0,67.0,65.0,63.0,64.0,63.0,63.0,59.0,58.0,57.0,55.0
112,University of Cincinnati-Main Campus,71.0,67.0,68.0,67.0,65.0,65.0,63.0,62.0,59.0,56.0,55.0,55.0,52.0,52.0,49.0,48.0
113,University of Colorado Boulder,69.0,71.0,69.0,70.0,71.0,70.0,70.0,68.0,68.0,68.0,67.0,67.0,67.0,66.0,66.0,66.0
114,University of Colorado Colorado Springs,45.0,45.0,43.0,47.0,44.0,47.0,46.0,47.0,41.0,45.0,43.0,46.0,41.0,42.0,39.0,37.0
115,University of Colorado Denver/Anschutz Medical Campus,52.0,48.0,45.0,48.0,46.0,40.0,41.0,45.0,40.0,42.0,43.0,37.0,39.0,36.0,42.0,39.0
116,University of Connecticut,85.0,85.0,83.0,82.0,83.0,81.0,83.0,82.0,83.0,81.0,78.0,76.0,75.0,74.0,72.0,71.0
117,University of Delaware,82.0,83.0,83.0,83.0,81.0,81.0,82.0,80.0,78.0,77.0,75.0,80.0,78.0,76.0,76.0,76.0
118,University of Florida,88.0,90.0,88.0,87.0,87.0,88.0,87.0,85.0,84.0,84.0,82.0,82.0,81.0,79.0,79.0,78.0
119,University of Georgia,86.0,85.0,84.0,84.0,84.0,84.0,82.0,81.0,82.0,80.0,79.0,78.0,77.0,75.0,73.0,72.0
120,University of Hawaii at Manoa,61.0,59.0,60.0,58.0,57.0,56.0,57.0,56.0,55.0,50.0,48.0,51.0,55.0,51.0,51.0,56.0
121,University of Houston,61.0,59.0,54.0,51.0,51.0,48.0,48.0,46.0,46.0,46.0,41.0,42.0,43.0,42.0,40.0,39.0
122,University of Idaho,56.0,59.0,55.0,56.0,57.0,58.0,54.0,56.0,51.0,55.0,56.0,57.0,53.0,54.0,57.0,54.0
123,University of Illinois Chicago,61.0,59.0,57.0,58.0,60.0,60.0,57.0,58.0,54.0,53.0,54.0,48.0,50.0,51.0,50.0,45.0
124,University of Illinois Urbana-Champaign,85.0,84.0,85.0,85.0,85.0,84.0,84.0,84.0,82.0,84.0,83.0,82.0,82.0,82.0,83.0,80.0
125,University of Iowa,72.0,73.0,74.0,72.0,72.0,70.0,70.0,70.0,71.0,70.0,69.0,0.0,66.0,65.0,66.0,66.0
126,University of Kansas,67.0,65.0,63.0,63.0,61.0,60.0,62.0,64.0,61.0,61.0,61.0,60.0,60.0,59.0,59.0,57.0
127,University of Kentucky,66.0,66.0,65.0,64.0,61.0,60.0,60.0,58.0,59.0,58.0,60.0,58.0,61.0,59.0,60.0,60.0
128,University of Louisiana at Lafayette,51.0,48.0,44.0,45.0,45.0,48.0,45.0,44.0,41.0,40.0,42.0,40.0,41.0,40.0,39.0,32.0
129,University of Louisville,59.0,57.0,54.0,53.0,53.0,54.0,53.0,52.0,51.0,49.0,48.0,46.0,44.0,41.0,37.0,33.0
130,University of Maine,57.0,60.0,58.0,59.0,55.0,60.0,56.0,59.0,60.0,57.0,58.0,59.0,59.0,59.0,53.0,56.0
131,University of Maryland Eastern Shore,41.0,39.0,38.0,36.0,33.0,37.0,32.0,31.0,31.0,32.0,32.0,38.0,37.0,34.0,42.0,42.0
132,University of Maryland-Baltimore County,70.0,68.0,63.0,64.0,63.0,61.0,65.0,61.0,57.0,57.0,59.0,59.0,61.0,56.0,58.0,55.0
133,University of Maryland-College Park,87.0,86.0,85.0,87.0,86.0,85.0,84.0,82.0,82.0,81.0,82.0,82.0,80.0,79.0,77.0,73.0
134,University of Massachusetts-Amherst,82.0,80.0,77.0,76.0,78.0,76.0,73.0,70.0,67.0,69.0,66.0,69.0,67.0,66.0,66.0,62.0
135,University of Massachusetts-Boston,49.0,48.0,48.0,45.0,42.0,42.0,44.0,38.0,40.0,41.0,39.0,33.0,33.0,36.0,35.0,28.0
136,University of Massachusetts-Dartmouth,59.0,56.0,48.0,48.0,46.0,47.0,49.0,50.0,48.0,48.0,48.0,46.0,47.0,48.0,51.0,50.0
137,University of Massachusetts-Lowell,66.0,63.0,60.0,56.0,56.0,54.0,54.0,54.0,50.0,51.0,53.0,51.0,44.0,46.0,46.0,46.0
138,University of Memphis,53.0,48.0,43.0,42.0,45.0,44.0,43.0,40.0,38.0,36.0,37.0,38.0,34.0,34.0,33.0,36.0
139,University of Michigan-Ann Arbor,93.0,92.0,92.0,91.0,90.0,91.0,90.0,91.0,90.0,90.0,89.0,88.0,88.0,87.0,86.0,87.0
140,University of Minnesota-Twin Cities,83.0,80.0,80.0,78.0,77.0,78.0,75.0,73.0,70.0,70.0,68.0,66.0,63.0,61.0,61.0,56.0
141,University of Mississippi,66.0,64.0,60.0,60.0,61.0,61.0,58.0,58.0,60.0,59.0,60.0,56.0,53.0,56.0,56.0,54.0
142,University of Missouri-Columbia,71.0,69.0,68.0,68.0,69.0,69.0,70.0,71.0,69.0,69.0,68.0,69.0,67.0,69.0,66.0,68.0
143,University of Missouri-Kansas City,47.0,48.0,46.0,48.0,49.0,51.0,51.0,44.0,41.0,43.0,41.0,35.0,43.0,45.0,46.0,44.0
144,University of Missouri-St Louis,52.0,52.0,56.0,53.0,41.0,42.0,46.0,47.0,51.0,43.0,41.0,46.0,43.0,42.0,43.0,45.0
145,University of Nebraska at Omaha,51.0,49.0,48.0,45.0,47.0,45.0,42.0,46.0,43.0,45.0,45.0,43.0,41.0,40.0,37.0,37.0
146,University of Nebraska-Lincoln,65.0,69.0,68.0,67.0,67.0,67.0,67.0,65.0,67.0,64.0,63.0,64.0,63.0,62.0,63.0,62.0
147,University of Nevada-Las Vegas,45.0,43.0,42.0,41.0,41.0,39.0,43.0,41.0,40.0,41.0,39.0,41.0,41.0,39.0,41.0,41.0
148,University of Nevada-Reno,61.0,58.0,55.0,54.0,59.0,55.0,51.0,54.0,51.0,49.0,46.0,48.0,46.0,49.0,52.0,49.0
149,University of New Hampshire-Main Campus,77.0,77.0,77.0,78.0,80.0,77.0,80.0,78.0,76.0,75.0,75.0,73.0,74.0,74.0,73.0,72.0
150,University of New Mexico-Main Campus,53.0,49.0,48.0,44.0,47.0,47.0,48.0,45.0,44.0,44.0,43.0,44.0,44.0,42.0,41.0,40.0
151,University of New Orleans,42.0,37.0,32.0,36.0,35.0,34.0,32.0,34.0,38.0,20.0,21.0,22.0,24.0,25.0,24.0,25.0
152,University of North Carolina at Chapel Hill,91.0,89.0,91.0,91.0,90.0,90.0,90.0,89.0,89.0,88.0,85.0,86.0,83.0,84.0,84.0,81.0
153,University of North Carolina at Charlotte,64.0,59.0,54.0,57.0,53.0,55.0,54.0,53.0,53.0,55.0,54.0,51.0,51.0,50.0,49.0,47.0
154,University of North Carolina at Greensboro,59.0,53.0,54.0,54.0,56.0,56.0,55.0,54.0,53.0,53.0,52.0,53.0,50.0,52.0,51.0,50.0
155,University of North Carolina Wilmington,72.0,73.0,72.0,72.0,71.0,71.0,71.0,69.0,67.0,66.0,69.0,67.0,65.0,65.0,63.0,61.0
156,University of North Dakota,61.0,55.0,54.0,55.0,53.0,54.0,53.0,52.0,54.0,51.0,54.0,54.0,54.0,53.0,56.0,54.0
157,University of North Texas,56.0,53.0,54.0,52.0,52.0,50.0,50.0,48.0,49.0,48.0,47.0,45.0,44.0,45.0,43.0,40.0
158,University of Oklahoma-Norman Campus,70.0,67.0,67.0,68.0,66.0,67.0,66.0,66.0,67.0,63.0,63.0,60.0,61.0,57.0,55.0,55.0
159,University of Oregon,74.0,73.0,72.0,72.0,71.0,69.0,67.0,67.0,66.0,68.0,70.0,66.0,65.0,63.0,63.0,62.0
160,University of Pittsburgh-Pittsburgh Campus,83.0,83.0,82.0,81.0,82.0,82.0,80.0,79.0,79.0,78.0,78.0,76.0,75.0,73.0,70.0,67.0
161,University of Puerto Rico-Rio Piedras,56.0,57.0,58.0,53.0,44.0,47.0,47.0,32.0,53.0,48.0,48.0,45.0,46.0,49.0,48.0,50.0
162,University of Rhode Island,69.0,67.0,66.0,63.0,63.0,59.0,63.0,63.0,63.0,63.0,60.0,58.0,58.0,57.0,56.0,57.0
163,University of South Alabama,46.0,43.0,40.0,38.0,35.0,37.0,33.0,37.0,39.0,37.0,37.0,33.0,37.0,39.0,33.0,34.0
164,University of South Carolina-Columbia,76.0,76.0,74.0,73.0,72.0,73.0,73.0,72.0,70.0,68.0,69.0,67.0,63.0,63.0,65.0,64.0
165,University of South Dakota,59.0,58.0,57.0,54.0,52.0,56.0,54.0,45.0,47.0,50.0,45.0,46.0,47.0,49.0,46.0,43.0
166,University of South Florida,75.0,73.0,71.0,67.0,68.0,67.0,63.0,57.0,52.0,51.0,48.0,48.0,49.0,49.0,48.0,47.0
167,University of Southern Mississippi,49.0,49.0,47.0,45.0,50.0,48.0,45.0,50.0,47.0,47.0,45.0,43.0,48.0,46.0,46.0,48.0
168,University of Toledo,51.0,47.0,42.0,43.0,42.0,45.0,46.0,46.0,46.0,45.0,45.0,46.0,45.0,44.0,42.0,45.0
169,University of Utah,70.0,70.0,67.0,65.0,64.0,62.0,60.0,59.0,55.0,56.0,58.0,51.0,56.0,46.0,43.0,48.0
170,University of Vermont,77.0,76.0,75.0,74.0,77.0,76.0,76.0,76.0,72.0,77.0,73.0,71.0,72.0,67.0,65.0,67.0
171,University of Virginia-Main Campus,95.0,94.0,95.0,94.0,93.0,94.0,93.0,93.0,94.0,93.0,93.0,93.0,93.0,92.0,93.0,92.0
172,University of Washington-Seattle Campus,84.0,84.0,84.0,84.0,84.0,84.0,82.0,81.0,80.0,80.0,81.0,77.0,75.0,75.0,74.0,73.0
173,University of Wisconsin-Madison,88.0,87.0,87.0,85.0,85.0,84.0,83.0,82.0,82.0,83.0,81.0,81.0,79.0,78.0,77.0,76.0
174,University of Wisconsin-Milwaukee,44.0,44.0,41.0,40.0,41.0,44.0,41.0,43.0,40.0,43.0,43.0,42.0,41.0,43.0,42.0,37.0
175,University of Wyoming,60.0,57.0,58.0,55.0,55.0,54.0,54.0,54.0,53.0,53.0,55.0,53.0,57.0,56.0,58.0,56.0
176,Utah State University,54.0,48.0,48.0,46.0,49.0,49.0,51.0,50.0,52.0,55.0,55.0,53.0,45.0,48.0,47.0,45.0
177,Virginia Commonwealth University,67.0,67.0,63.0,62.0,62.0,59.0,57.0,56.0,53.0,50.0,50.0,49.0,47.0,45.0,43.0,40.0
178,Virginia Polytechnic Institute and State University,86.0,84.0,84.0,84.0,83.0,83.0,83.0,83.0,82.0,80.0,80.0,78.0,78.0,79.0,76.0,74.0
179,Washington State University,60.0,59.0,62.0,67.0,64.0,67.0,65.0,67.0,67.0,69.0,69.0,67.0,63.0,60.0,63.0,60.0
180,Wayne State University,48.0,47.0,47.0,39.0,35.0,34.0,32.0,28.0,26.0,31.0,32.0,34.0,32.0,36.0,33.0,32.0
181,West Virginia University,60.0,59.0,57.0,57.0,57.0,57.0,57.0,56.0,57.0,59.0,58.0,56.0,55.0,55.0,54.0,54.0
182,Western Michigan University,57.0,53.0,51.0,53.0,54.0,54.0,55.0,56.0,56.0,52.0,54.0,55.0,54.0,54.0,54.0,55.0
183,Wichita State University,50.0,47.0,47.0,46.0,43.0,44.0,46.0,41.0,43.0,41.0,42.0,38.0,42.0,36.0,37.0,37.0
184,William & Mary,90.0,91.0,92.0,91.0,90.0,90.0,90.0,90.0,91.0,90.0,91.0,91.0,91.0,91.0,91.0,89.0
185,Wright State University-Main Campus,45.0,39.0,36.0,35.0,40.0,39.0,41.0,40.0,40.0,42.0,45.0,43.0,43.0,43.0,41.0,41.0
